time,ua_ax,ua_ay,ua_az,ua_gx,ua_gy,ua_gz,ua_roll,ua_pitch,ua_yaw,ua_yz_angle,fa_ax,fa_ay,fa_az,fa_gx,fa_gy,fa_gz,fa_roll,fa_pitch,fa_yaw,fa_yz_angle,upper_arm_raise_angle,upper_arm_raise_velocity,elbow_angle,elbow_velocity,motion_state,expected_muscle,label
0.029,-0.7112,0.1635,0.7002,-2.28,-0.34,0.66,13.14,44.69,0.66,13.14,-0.6086,0.6927,0.2646,2.44,2.16,-0.98,69.09,39.38,-0.98,69.09,0.03999999999999915,0.4702081815226187,-0.30000000000000426,-1.8808327260905582,hold,unknown,unknown
0.135,-0.7114,0.1636,0.6998,-2.3,-0.31,0.66,13.16,44.71,0.66,13.16,-0.6093,0.6932,0.2671,2.47,2.18,-1.02,68.93,39.35,-1.02,68.93,0.019999999999999574,-0.18956577939378197,-0.1200000000000081,1.7060920145440377,hold,unknown,unknown
0.240,-0.7109,0.1624,0.6987,-2.26,-0.31,0.69,13.08,44.74,0.69,13.08,-0.6093,0.6926,0.2672,2.47,2.14,-0.98,68.9,39.37,-0.98,68.9,0.09999999999999964,0.761453355512036,-0.17000000000000703,-0.4759083471950119,hold,unknown,unknown
0.345,-0.7119,0.1622,0.6993,-2.3,-0.33,0.66,13.06,44.76,0.66,13.06,-0.6106,0.6938,0.2689,2.47,2.19,-0.98,68.81,39.37,-0.98,68.81,0.11999999999999922,0.18971111181469502,-0.1000000000000032,0.6639888913514831,hold,unknown,unknown
0.451,-0.7108,0.1633,0.6986,-2.26,-0.33,0.67,13.16,44.73,0.67,13.16,-0.6099,0.6931,0.2682,2.45,2.18,-0.98,68.85,39.37,-0.98,68.85,0.019999999999999574,-0.946823270208829,-0.039999999999995595,0.5680939621253713,hold,unknown,unknown
0.556,-0.7124,0.1635,0.6985,-2.24,-0.27,0.68,13.17,44.8,0.68,13.17,-0.6101,0.6935,0.2665,2.47,2.16,-0.98,68.98,39.39,-0.98,68.98,0.009999999999999787,-0.0951926865359979,-0.16000000000000547,-1.1423122384320932,hold,unknown,unknown
0.661,-0.7118,0.1631,0.6979,-2.25,-0.29,0.67,13.15,44.8,0.67,13.15,-0.6091,0.6936,0.2673,2.48,2.15,-0.98,68.92,39.33,-0.98,68.92,0.02999999999999936,0.19004592217018665,-0.12000000000000277,0.38009184434040705,hold,unknown,unknown
0.766,-0.7114,0.1632,0.7002,-2.3,-0.33,0.69,13.12,44.7,0.69,13.12,-0.6088,0.6937,0.2677,2.44,2.2,-0.99,68.9,39.31,-0.99,68.9,0.0600000000000005,0.28564159141367756,-0.1300000000000079,-0.0952138638046043,hold,unknown,unknown
0.871,-0.7111,0.1637,0.6998,-2.27,-0.31,0.67,13.17,44.69,0.67,13.17,-0.6096,0.6945,0.2678,2.45,2.17,-1.02,68.91,39.32,-1.02,68.91,0.009999999999999787,-0.4752892436491114,-0.08999999999999808,0.38023139491937696,hold,unknown,unknown
0.976,-0.7117,0.1627,0.6991,-2.28,-0.31,0.72,13.1,44.75,0.72,13.1,-0.6091,0.6936,0.2683,2.46,2.15,-0.94,68.85,39.32,-0.94,68.85,0.08000000000000007,0.6666544356395204,-0.09999999999999609,-0.09523634794848358,hold,unknown,unknown
1.081,-0.7123,0.1633,0.6997,-2.27,-0.32,0.67,13.14,44.75,0.67,13.14,-0.6097,0.6938,0.2667,2.46,2.16,-1.01,68.97,39.36,-1.01,68.97,0.03999999999999915,-0.38095144674310544,-0.17999999999999972,-0.7619028934862279,hold,unknown,unknown
1.186,-0.7115,0.1628,0.6991,-2.27,-0.32,0.66,13.11,44.75,0.66,13.11,-0.6093,0.6938,0.2668,2.39,2.11,-0.99,68.96,39.34,-0.99,68.96,0.07000000000000028,0.28568115099682545,-0.19999999999999574,-0.19045410066450522,hold,unknown,unknown
1.291,-0.7107,0.1632,0.6984,-2.25,-0.32,0.69,13.15,44.74,0.69,13.15,-0.6101,0.6929,0.2682,2.46,2.15,-0.99,68.84,39.39,-0.99,68.84,0.02999999999999936,-0.38093414739921366,-0.040000000000004476,1.523736589596736,hold,unknown,unknown
1.396,-0.7111,0.1638,0.7002,-2.27,-0.31,0.7,13.17,44.68,0.7,13.17,-0.609,0.6919,0.2675,2.48,2.16,-0.99,68.87,39.39,-0.99,68.87,0.009999999999999787,-0.19042988906015135,-0.05000000000000604,-0.09521494453009259,hold,unknown,unknown
1.501,-0.7108,0.1644,0.6989,-2.3,-0.3,0.69,13.24,44.71,0.69,13.24,-0.6104,0.6934,0.2678,2.47,2.15,-0.96,68.88,39.39,-0.96,68.88,-0.0600000000000005,-0.6666529219297456,0.01000000000000334,0.5714167902255832,hold,unknown,unknown
1.606,-0.7111,0.1636,0.6989,-2.26,-0.35,0.69,13.17,44.73,0.69,13.17,-0.6097,0.6925,0.2659,2.43,2.15,-0.98,69.0,39.42,-0.98,69.0,0.009999999999999787,0.6667649550230873,-0.1800000000000015,-1.8097905922055613,hold,unknown,unknown
1.711,-0.7118,0.1641,0.6985,-2.26,-0.3,0.69,13.22,44.77,0.69,13.22,-0.6097,0.694,0.2679,2.5,2.19,-0.97,68.89,39.34,-0.97,68.89,-0.040000000000000924,-0.47616660309157305,-0.02000000000000135,1.5237331298930135,hold,unknown,unknown
1.817,-0.7118,0.163,0.6989,-2.24,-0.37,0.7,13.13,44.77,0.7,13.13,-0.61,0.6927,0.2681,2.4,2.14,-1.03,68.85,39.39,-1.03,68.85,0.049999999999998934,0.8568080731046304,-0.06999999999999496,-0.47600448505806786,hold,unknown,unknown
1.921,-0.7113,0.1632,0.6987,-2.32,-0.28,0.68,13.15,44.75,0.68,13.15,-0.6096,0.6932,0.2671,2.46,2.19,-0.98,68.93,39.37,-0.98,68.93,0.02999999999999936,-0.1904869691196366,-0.1300000000000079,-0.5714609073590452,hold,unknown,unknown
2.026,-0.7117,0.1644,0.6993,-2.29,-0.27,0.69,13.23,44.73,0.69,13.23,-0.609,0.6938,0.2668,2.47,2.18,-0.99,68.96,39.33,-0.99,68.96,-0.05000000000000071,-0.761985943159497,-0.07999999999999474,0.4762412144748104,hold,unknown,unknown
2.131,-0.7111,0.1633,0.6989,-2.29,-0.29,0.69,13.15,44.73,0.69,13.15,-0.6083,0.6938,0.2678,2.46,2.16,-0.98,68.89,39.28,-0.98,68.89,0.02999999999999936,0.762060357201258,-0.09000000000000163,-0.09525754465022282,hold,unknown,unknown
2.236,-0.7118,0.1639,0.6995,-2.29,-0.29,0.65,13.19,44.73,0.65,13.19,-0.6094,0.6935,0.2682,2.51,2.19,-0.95,68.86,39.34,-0.95,68.86,-0.009999999999999787,-0.3809505817385774,-0.02000000000000135,0.6666635180425273,hold,unknown,unknown
2.341,-0.7107,0.1639,0.6982,-2.29,-0.32,0.69,13.21,44.74,0.69,13.21,-0.6095,0.6924,0.2677,2.44,2.17,-0.98,68.86,39.39,-0.98,68.86,-0.030000000000001137,-0.1905246087805893,0.0,0.1905246087805893,hold,unknown,unknown
2.447,-0.7115,0.1647,0.699,-2.27,-0.3,0.72,13.26,44.74,0.72,13.26,-0.6096,0.6941,0.266,2.46,2.16,-0.96,69.03,39.36,-0.96,69.03,-0.08000000000000007,-0.47511049992862653,-0.12000000000000277,-1.1402651998287543,hold,unknown,unknown
2.552,-0.7109,0.1633,0.6989,-2.29,-0.32,0.73,13.15,44.73,0.73,13.15,-0.6089,0.693,0.2686,2.45,2.13,-0.95,68.82,39.33,-0.95,68.82,0.02999999999999936,1.0412846409572913,-0.019999999999994245,0.9466224008703504,hold,unknown,unknown
2.657,-0.712,0.1635,0.6985,-2.3,-0.32,0.65,13.17,44.79,0.65,13.17,-0.6095,0.6936,0.2676,2.48,2.2,-1.02,68.9,39.35,-1.02,68.9,0.009999999999999787,-0.19046880357114068,-0.08000000000000718,-0.5714064107135574,hold,unknown,unknown
2.763,-0.7117,0.1641,0.6996,-2.24,-0.35,0.66,13.2,44.72,0.66,13.2,-0.6093,0.6942,0.2678,2.47,2.15,-0.98,68.9,39.31,-0.98,68.9,-0.019999999999999574,-0.2848610774674451,-0.050000000000007816,0.2848610774674451,hold,unknown,unknown
2.868,-0.7106,0.1628,0.7,-2.25,-0.31,0.67,13.1,44.68,0.67,13.1,-0.609,0.6936,0.2681,2.47,2.18,-0.97,68.87,39.32,-0.97,68.87,0.08000000000000007,0.9518274943380093,-0.12000000000000632,-0.6662792460365947,hold,unknown,unknown
2.973,-0.7107,0.163,0.6978,-2.29,-0.34,0.69,13.15,44.77,0.69,13.15,-0.6102,0.693,0.2673,2.45,2.17,-0.98,68.91,39.41,-0.98,68.91,0.02999999999999936,-0.47616552193904293,-0.10999999999999766,0.09523310438788979,hold,unknown,unknown
3.078,-0.7113,0.1633,0.6989,-2.27,-0.34,0.69,13.15,44.74,0.69,13.15,-0.6094,0.693,0.2664,2.44,2.12,-0.97,68.98,39.38,-0.97,68.98,0.02999999999999936,0.0,-0.18000000000000504,-0.665483368654943,hold,unknown,unknown
3.183,-0.7104,0.1628,0.7007,-2.28,-0.31,0.7,13.08,44.64,0.7,13.08,-0.6102,0.6941,0.269,2.47,2.18,-0.98,68.81,39.34,-0.98,68.81,0.09999999999999964,0.6664198926378655,-0.08000000000000362,0.9520284180541032,hold,unknown,unknown
3.288,-0.7106,0.1624,0.6978,-2.27,-0.33,0.66,13.1,44.77,0.66,13.1,-0.6084,0.6935,0.2681,2.45,2.17,-1.0,68.87,39.29,-1.0,68.87,0.08000000000000007,-0.190472695897001,-0.12000000000000632,-0.38094539179403586,hold,unknown,unknown
3.393,-0.7114,0.163,0.6987,-2.28,-0.29,0.72,13.13,44.76,0.72,13.13,-0.6088,0.6941,0.2684,2.44,2.17,-0.99,68.86,39.28,-0.99,68.86,0.049999999999998934,-0.28536562797660625,-0.08000000000000007,0.3804875039688534,hold,unknown,unknown
3.498,-0.7126,0.1631,0.6996,-2.25,-0.28,0.69,13.12,44.77,0.69,13.12,-0.6096,0.694,0.2678,2.44,2.18,-0.95,68.9,39.34,-0.95,68.9,0.0600000000000005,0.09496207678829238,-0.1300000000000079,-0.4748103839414619,hold,unknown,unknown
3.605,-0.7112,0.1626,0.6985,-2.28,-0.35,0.67,13.1,44.76,0.67,13.1,-0.6084,0.6938,0.2678,2.44,2.19,-1.02,68.89,39.28,-1.02,68.89,0.08000000000000007,0.18842674621286593,-0.14000000000000234,-0.09421337310638277,hold,unknown,unknown
3.715,-0.7114,0.1626,0.6985,-2.3,-0.31,0.66,13.1,44.77,0.66,13.1,-0.6096,0.6931,0.267,2.44,2.16,-0.98,68.93,39.38,-0.98,68.93,0.08000000000000007,0.0,-0.1800000000000086,-0.361777532431743,hold,unknown,unknown
3.821,-0.7119,0.1637,0.6992,-2.29,-0.27,0.7,13.18,44.75,0.7,13.18,-0.6097,0.6945,0.2687,2.47,2.18,-0.95,68.85,39.31,-0.95,68.85,0.0,-0.7562124507287309,-0.01999999999999602,1.5124249014575795,hold,unknown,unknown
3.927,-0.7108,0.1625,0.6996,-2.27,-0.32,0.66,13.07,44.7,0.66,13.07,-0.6097,0.6941,0.2679,2.46,2.17,-0.98,68.89,39.34,-0.98,68.89,0.10999999999999943,1.0339688402029457,-0.1700000000000017,-1.409957509367714,hold,unknown,unknown
